House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H20,V1,H20 V1,2022-09-08 H20 V1,In,2022-09-08T00:00:00Z,42.708333333333336,24,Summer,Lindon,2.1000000000000001E-2,12.775735538405373,3.406862810241432,FALSE,0.0128,31.248070175438595,14.6,52.1,25.383508771929826,23.9,27.9,23.75,Evaporative,EC,High
H20,V1,H20 V1,2022-09-08 H20 V1,Out,2022-09-08T00:00:00Z,42.708333333333336,24,Summer,Lindon,5.1999999999999998E-2,31.747404065080158,3.4321517908194763,FALSE,0.0317,31.398936170212767,1.9,73.2,22.511791503496504,13.48341,31.68987,23.833333333333332,Evaporative,EC,High
H21,V1,H21 V1,2022-09-08 H21 V1,In,2022-09-08T00:00:00Z,43.30434782608695,23,Summer,Spanish Fork,4.8000000000000001E-2,29.007970766068077,3.412702443066832,FALSE,0.029,44.49145907473309,20,57.5,21.832028469750888,17.8,24.6,23.416666666666668,Evaporative,EC,High
H21,V1,H21 V1,2022-09-08 H21 V1,Out,2022-09-08T00:00:00Z,43.30434782608695,23,Summer,Spanish Fork,6.7000000000000004E-2,40.42172092385311,3.440146461604519,FALSE,0.0404,33.533691756272404,4.4,57,22.259111737588654,13.48341,28.79814,23.5,Evaporative,EC,High
H22,V1,H22 V1,2022-09-12 H22 V1,In,2022-09-12T00:00:00Z,37.541666666666664,24,Summer,Lindon,0.03,17.82943262753362,3.396082405244499,FALSE,0.0178,54.809375,44.6,70.7,20.996180555555554,19.8,22.9,24,Evaporative,EC,High
H22,V1,H22 V1,2022-09-12 H22 V1,Out,2022-09-12T00:00:00Z,37.541666666666664,24,Summer,Lindon,5.5E-2,33.1230956155562,3.397240575954482,FALSE,0.0331,41.652961672473864,14.7,72,21.22018553633218,14.74425,31.89504,24.083333333333332,Evaporative,EC,High
H23,V1,H23 V1,2022-09-12 H23 V1,In,2022-09-12T00:00:00Z,37.32,25,Summer,Lindon,4.8000000000000001E-2,28.57905896372653,3.3622422310266495,FALSE,0.0286,57.088235294117645,49,66.3,21.12214532871972,20.5,22.3,24.083333333333332,Evaporative,EC,High
H23,V1,H23 V1,2022-09-12 H23 V1,Out,2022-09-12T00:00:00Z,37.32,25,Summer,Lindon,6.4000000000000001E-2,38.492657008501155,3.347187565956622,FALSE,0.0385,47.999652777777776,18.9,95.1,20.83930731958763,14.52961,31.29686,24.25,Evaporative,EC,High
H24,V1,H24 V1,2023-07-13 H24 V1,In,2023-07-13T00:00:00Z,46.333333333333336,24,Summer,Lindon,3.7999999999999999E-2,22.6085644311158,3.4782406817101217,FALSE,0.0226,NA,NA,NA,NA,NA,NA,NA,Evaporative,EC,High
H24,V1,H24 V1,2023-07-13 H24 V1,Out,2023-07-13T00:00:00Z,46.333333333333336,24,Summer,Lindon,5.8000000000000003E-2,34.6824759649449,3.5571770220456305,FALSE,0.0347,24.736383274021353,19.66358,45.45846,24.787080854092526,15.26936,33.50964,23.416666666666668,Evaporative,EC,High
