"STATION","NAME","DATE","TMAX"
"USC00427064","PROVO BYU, UT US","2023-04-14","52"
"USC00427064","PROVO BYU, UT US","2023-04-15","60"
"USC00427064","PROVO BYU, UT US","2023-04-16","72"
"USC00427064","PROVO BYU, UT US","2023-04-17","75"
"USC00427064","PROVO BYU, UT US","2023-04-18","72"
"USC00427064","PROVO BYU, UT US","2023-04-19","47"
"USC00427064","PROVO BYU, UT US","2023-04-20","49"
"USC00427064","PROVO BYU, UT US","2023-04-21","55"
"USC00427064","PROVO BYU, UT US","2023-04-22","50"
"USC00427064","PROVO BYU, UT US","2023-04-23","61"
"USC00427064","PROVO BYU, UT US","2023-04-24","63"
"USC00427064","PROVO BYU, UT US","2023-04-25","58"
