"House.Number","Visit","Location","SidePak.ug.m3.avg","SidePak.ug.m3.stdev","SidePak.ug.m3.min","SidePak.ug.m3.max","SidePak.num.points","SidePak.min.time","SidePak.max.time","Sidepak.tenth","Sidepak.ninetieth","SidePak.interval.measured","SidePak.is.valid","first.day","Ozone.UDAQ.ppb","PM2.5.UDAQ.ug.m3","UDAQ.n_OZONE","UDAQ.n_PM2.5","season","Monitor.closest","Ave Flow (L/min)","Total Volume (L)","O3.mg.m3","O3.ppm","O3.LOD.ppm","O3.Below.detection"
"H04","V1","In",3.6745182012848,1.54031079882922,2,21,1401,2022-07-28 16:41:00,2022-07-29 16:01:00,2,5,23.3333333333333,"Y",2022-07-28,46.0416666666667,8.07083333333333,24,24,"Summer","Spanish Fork",0.251055,359.0889876,"<0.01",NA,0.00669286283723741,TRUE
"H04","V1","Out",11.5638829407566,5.52478393092709,4,53,1401,2022-07-28 16:41:00,2022-07-29 16:01:00,5,21,23.3333333333333,"Y",2022-07-28,46.0416666666667,8.07083333333333,24,24,"Summer","Spanish Fork",0.25303,355.4767864,"7.8E-2",0.0473261096820378,0.00676087281171969,FALSE
"H04","V2","In",1.0317572335921,1.05551113695304,0,13,1417,2023-01-25 16:41:00,2023-01-26 16:17:00,0,2,23.6,"Y",2023-01-25,NA,13.3333333333333,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H04","V2","Out",29.9887085391673,11.9876295506401,12,58,1417,2023-01-25 16:41:00,2023-01-26 16:17:00,17,47,23.6,"Y",2023-01-25,NA,13.3333333333333,NA,24,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H05","V2","In",7.53380281690141,4.8407607967617,3,62,1420,2023-02-02 17:57:00,2023-02-03 17:36:00,4,15,23.65,"Y",2023-02-02,NA,24.6333333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H05","V2","Out",43.2753521126761,22.2896768725754,6,232,1420,2023-02-02 17:57:00,2023-02-03 17:36:00,25,64,23.65,"Y",2023-02-02,NA,24.6333333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H05","V3","In",6.22295390404516,3.72199649823874,3,70,1063,2023-08-21 17:56:00,2023-08-22 11:38:00,3,10,17.7,"Y",2023-08-21,34.625,3.45416666666667,24,24,"Summer","Lindon",0.496914,704.26130478,"<0.0057",NA,0.00341255912266827,TRUE
"H05","V3","Out",16.5747883349012,274.988063093654,1,8072,1063,2023-08-21 17:56:00,2023-08-22 11:38:00,3,6,17.7,"Y",2023-08-21,34.625,3.45416666666667,24,24,"Summer","Lindon",0.4992165,704.98355697,"3.6999999999999998E-2",0.0204543778356934,0.00340906297261557,FALSE
"H06","V1","In",3.48014440433213,1.06294116006868,2,25,1385,2022-08-01 17:34:00,2022-08-02 16:38:00,3,4,23.0666666666667,"Y",2022-08-01,37.8260869565217,3.98695652173913,23,23,"Summer","Lindon",0.247985,344.7041097,"<0.01",NA,0.00697216329234048,TRUE
"H06","V1","Out",7.93429602888087,3.12122846843802,3,37,1385,2022-08-01 17:34:00,2022-08-02 16:38:00,4,11,23.0666666666667,"Y",2022-08-01,37.8260869565217,3.98695652173913,23,23,"Summer","Lindon",0.24606,341.8044066,"6.2E-2",0.036914386688128,0.00703131175011963,FALSE
"H06","V2","In",5.91730903994394,0.83667782348041,4,15,1427,2022-11-17 10:35:00,2022-11-18 10:21:00,5,7,23.7666666666667,"Y",2022-11-17,NA,9.525,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H06","V2","Out",5.29922915206727,4.55935063657712,0,52,1427,2022-11-17 10:35:00,2022-11-18 10:21:00,1,12,23.7666666666667,"Y",2022-11-17,NA,9.525,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H07","V1","In",8.08548850574713,2.59192281669772,4,28,1392,2022-08-03 11:53:00,2022-08-04 11:04:00,5,11.9000000000001,23.1833333333333,"Y",2022-08-03,43.25,11.4964285714286,28,28,"Summer","Lindon",0.245635,404.80648,"<0.01",NA,0.00593699325260121,TRUE
"H07","V1","Out",23.5057471264368,6.84342469491615,10,52,1392,2022-08-03 11:53:00,2022-08-04 11:04:00,14,33,23.1833333333333,"Y",2022-08-03,43.25,11.4964285714286,28,28,"Summer","Lindon",0.250185,344.84249475,"9.2999999999999999E-2",0.0557549229450178,0.00696936536812723,FALSE
"H07","V2","In",3.07004160887656,1.17808045493305,2,23,1442,2023-03-09 19:19:00,2023-03-10 19:20:00,2,4,24.0166666666667,"Y",2023-03-09,NA,4.49583333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H07","V2","Out",0.828016643550624,1.42967171988836,0,13,1442,2023-03-09 19:19:00,2023-03-10 19:20:00,0,2,24.0166666666667,"Y",2023-03-09,NA,4.49583333333333,NA,24,"Winter","Lindon",NA,NA,NA,NA,NA,NA
"H08","V1","In",13.6655405405405,1.83181720788311,10,25,296,2022-08-09 17:21:00,2022-08-09 22:16:00,12,16,4.91666666666667,"Y",2022-08-09,53.5,6.37916666666667,24,24,"Summer","Lindon",0.25026,357.4939074,"<0.01",NA,0.00672272531257479,TRUE
"H08","V1","Out",12.5506756756757,1.90025855944981,8,29,296,2022-08-09 17:21:00,2022-08-09 22:16:00,11,14,4.91666666666667,"Y",2022-08-09,53.5,6.37916666666667,24,24,"Summer","Lindon",0.251995,360.0353363,"6.4000000000000001E-2",0.0383828066687552,0.00667527072500091,FALSE
"H08","V2","In",16.9009083402147,9.07990738843192,2,41,1211,2022-09-08 17:25:00,2022-09-09 17:24:00,5,30,23.9833333333333,"Y",2022-09-08,40.75,15.1375,24,24,"Summer","Lindon",0.499245,723.6456426,"<0.006",NA,0.00332114670342554,TRUE
"H08","V2","Out",33.5202312138728,9.84920411833757,13,80,1211,2022-09-08 17:25:00,2022-09-09 17:24:00,20,45,23.9833333333333,"Y",2022-09-08,40.75,15.1375,24,24,"Summer","Lindon",0.50499,729.4681548,"6.4000000000000001E-2",0.038711993886945,0.00329463777761234,FALSE
