"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/23/2023","AQS","490494001","2","0.043","ppm","40","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/24/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/25/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/26/2023","AQS","490494001","2","0.046","ppm","43","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/27/2023","AQS","490494001","2","0.043","ppm","40","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/28/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/29/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/30/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"03/31/2023","AQS","490494001","2","0.043","ppm","40","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/01/2023","AQS","490494001","2","0.049","ppm","45","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/02/2023","AQS","490494001","2","0.042","ppm","39","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/03/2023","AQS","490494001","2","0.044","ppm","41","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/04/2023","AQS","490494001","2","0.041","ppm","38","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/05/2023","AQS","490494001","2","0.044","ppm","41","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/06/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/07/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/08/2023","AQS","490494001","2","0.048","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/09/2023","AQS","490494001","2","0.053","ppm","49","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/10/2023","AQS","490494001","2","0.055","ppm","51","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/11/2023","AQS","490494001","2","0.052","ppm","48","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/12/2023","AQS","490494001","2","0.052","ppm","48","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/13/2023","AQS","490494001","2","0.051","ppm","47","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/14/2023","AQS","490494001","2","0.049","ppm","45","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/15/2023","AQS","490494001","2","0.052","ppm","48","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/16/2023","AQS","490494001","2","0.053","ppm","49","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/17/2023","AQS","490494001","2","0.059","ppm","64","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/18/2023","AirNow","490494001","2","0.053","ppm","49","Lindon","18","75.0000","44201","Ozone","","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/19/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/20/2023","AQS","490494001","2","0.05","ppm","46","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/21/2023","AQS","490494001","2","0.044","ppm","41","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/22/2023","AQS","490494001","2","0.053","ppm","49","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
"04/23/2023","AQS","490494001","2","0.047","ppm","44","Lindon","17","100.0000","44201","Ozone","087","39340","Provo-Orem, UT","49","Utah","049","Utah","40.341389","-111.713611"
